timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684772113319,2,Home-0,302,Found,Thread Group 1-8,,true,,146,126,15,15,http://localhost:8080/jpetstore,2,0,0
1684772113321,0,Home-1,200,OK,Thread Group 1-8,text,true,,1351,127,15,15,http://localhost:8080/jpetstore/,0,0,0
1684772113412,3,Home,200,OK,Thread Group 1-12,text,true,,1497,253,16,16,http://localhost:8080/jpetstore/,2,0,1
1684772113412,2,Home-0,302,Found,Thread Group 1-12,,true,,146,126,16,16,http://localhost:8080/jpetstore,2,0,1
1684772113414,1,Home-1,200,OK,Thread Group 1-12,text,true,,1351,127,16,16,http://localhost:8080/jpetstore/,1,0,0
1684772113748,3,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,399,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772113834,3,Sign In,200,OK,Thread Group 1-1,text,true,,3921,545,17,17,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,3,0,0
1684772113895,3,Home,200,OK,Thread Group 1-9,text,true,,1497,253,17,17,http://localhost:8080/jpetstore/,2,0,1
1684772113895,2,Home-0,302,Found,Thread Group 1-9,,true,,146,126,17,17,http://localhost:8080/jpetstore,2,0,1
1684772113897,1,Home-1,200,OK,Thread Group 1-9,text,true,,1351,127,17,17,http://localhost:8080/jpetstore/,1,0,0
1684772113913,6,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,399,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1684772114081,3,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,399,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772114166,2,Home,200,OK,Thread Group 1-14,text,true,,1497,253,17,17,http://localhost:8080/jpetstore/,1,0,0
1684772114166,1,Home-0,302,Found,Thread Group 1-14,,true,,146,126,17,17,http://localhost:8080/jpetstore,1,0,0
